,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
189,HP,Pavilion 15-eg3027TU Laptop,75533,66.0,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
190,Dell,G15-5530 GN553064GRM002ORB1 Gaming Laptop,74990,69.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",8GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
191,Asus,TUF Gaming A15 FA577NU-LP082W Gaming Laptop,94990,77.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1
192,Asus,ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,179990,77.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
193,Asus,Vivobook 16X 2023 K3605ZC-MB541WS Laptop,77990,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,1
194,HP,15s-fr5009TU Laptop,37990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
195,HP,15-fd0013TU Laptop,62990,,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Integrated,15.6,1920,1080,Windows 11 OS,1
196,Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,129999,78.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
197,HP,Pavilion 15-eh2050AU Laptop,52990,62.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1
199,Acer,Predator Helios Neo 16 PHN16-71 Laptop,104990,75.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,1
200,Realme,Book Prime CloudPro002 Laptop,47999,62.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Iris Xe Graphics,14,2160,1440,Windows 11 OS,1
201,Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,114499,75.0,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,1
202,HP,Pavilion 15-eg2017TU Laptop,49990,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
203,Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,39990,,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
204,Acer,Nitro 5 AN515-47 2023 Gaming Laptop,68990,73.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
205,Acer,Nitro 5 AN515-47 Gaming Laptop,79990,72.0,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
206,MSI,GF63 Thin 11UC-1293IN Gaming Laptop,66490,75.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA Geforce RTX 3050,15.6,1920,1080,Windows 11 OS,2
207,Asus,Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop,69990,70.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1200,Windows 11 OS,1
208,Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,86490,65.0,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 OS,1
209,HP,15-fc0025AU Laptop,32790,,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1
210,Asus,ROG Zephyrus Duo 16,429990,,7th Gen AMD Ryzen 9  7945HX ,"16 Cores, 32 Threads",32GB,DDR5,2TB,SSD,16GB NVIDIA GeForce RTX 4090,16,3840,2400,Windows 11 OS,1
211,Dell,Vostro 3425 M552321WIN9S Laptop,49990,68.0,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
212,MSI,Modern 14 C7M-062IN Laptop,43990,62.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,14,1920,1080,Windows 11 OS,1
213,MSI,Modern 14 C11M-030IN Laptop,36990,,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
214,MSI,Sword 15 A12VF-401IN Gaming Laptop,102990,79.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,2
215,Acer,Extensa 15 EX215-33 Laptop,29990,,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,LPDDR5,256GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
216,HP,Pavilion x360 14-ek1010TU Laptop,77889,70.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
